월_일,적경,적위,출,몰
1_1,18_16_41,-24_37_16,7_33,16_53
1_6,18_51_37,-24_32_57,7_48,17_8
1_11,19_26_58,-23_52_45,8_0,17_27
1_16,20_2_30,-22_34_59,8_10,17_48
1_21,20_37_54,-20_38_40,8_18,18_12
1_26,21_12_40,-18_4_19,8_23,18_36
1_31,21_45_55,-14_55_52,8_25,19_0
