월_일,적경,적위,출,몰
1_1,23_16_38,-9_58_41,10_27,0_0
1_6,2_59_57,12_41_3,14_21,4_27
1_11,7_39_4,22_48_29,20_27,7_57
1_16,12_26_30,2_51_13,1_10,11_08
1_21,16_52_8,-20_20_38,5_16,15_46
1_26,21_25_45,-18_37_42,7_34,20_30
1_31,1_13_40,2_16_5,10_19,0_23
