월_일,적경,적위,출,몰
1_1,18_43_33,-23_3_32,7_3,18_26
1_6,19_5_34,-22_34_51,6_56,18_31
1_11,19_27_24,-21_55_1,6_49,18_36
1_16,19_49_0,-21_4_32,6_42,18_40
1_21,20_10_19,-20_3_57,6_34,18_45
1_26,20_31_21,-18_53_57,6_27,18_49
1_31,20_52_2,-17_35_20,6_19,18_54
