월_일,적경,적위,출,몰
1_1,2_2_41,11_56_34,13_13,2_32
1_11,2_2_29,11_55_54,12_34,1_13
1_21,2_2_38,11_57_0,11_54,0_35
1_31,2_3_7,11_59_55,11_15,23_56
