월_일,적경,적위,출,몰
1_1,19_32_16,-21_41_26,8_29,18_15
1_6,19_34_46,-21_36_14,8_11,17_58
1_11,19_37_17,-21_30_51,7_54,17_41
1_16,19_39_48,-21_25_19,7_36,17_24
1_21,19_42_19,-21_19_38,7_19,17_7
1_26,19_44_48,-21_13_52,7_1,16_51
1_31,19_47_16,-21_8_0,6_44,16_34
