월_일,적경,적위,출,몰
1_1,21_7_54,-18_24_08,9_57,20_7
1_6,21_32_15,-16_29_0,9_55,20_18
1_11,21_56_0,-14_23_1,9_52,20_29
1_16,22_19_11,-12_7_51,9_48,20_40
1_21,22_41_50,-9_45_7,9_43,20_50
1_26,23_4_0,-7_16_24,9_38,21_1
1_31,23_25_46,-4_43_20,9_32,21_11
