월_일,적경,적위,출,몰
1_1,18_28_40,-23_11_0,7_31,17_6
1_6,18_33_40,-23_7_45,7_17,16_52
1_11,18_38_39,-23_3_55,7_2,16_37
1_16,18_43_35,-22_59_32,6_47,16_23
1_21,18_48_29,22_54_36,6_31,16_8
1_26,18_53_19,-22_49_12,6_16,15_54
1_31,18_58_4,-22_43_21,6_1,15_39
