월_일,적경,적위,출,몰
1_1,23_11_1,-6_22_4,11_19,22_44
1_11,23_11_49,-6_16_50,10_40,22_5
1_21,23_13_46,-6_10_34,10_2,21_27
1_31,23_13_53,-6_3_24,9_23,20_50
